ax,ay,az,gx,gy,gz,mx,my,mz
0.00,-1.00,-0.02,-1.28,0.00,-0.24,-166.00,24.00,-28.00
0.00,-1.01,-0.02,0.49,0.00,-0.24,-165.00,25.00,-26.00
0.00,-1.01,-0.02,0.98,0.12,-0.18,-165.00,26.00,-27.00
0.00,-1.01,-0.02,-3.72,0.18,-0.18,-167.00,23.00,-31.00
0.00,-1.01,-0.02,-1.83,0.12,-0.18,-166.00,26.00,-26.00
0.00,-1.01,-0.01,-6.35,0.18,-0.24,-166.00,27.00,-26.00
0.01,-1.01,-0.02,3.05,0.06,-0.24,-168.00,25.00,-26.00
0.00,-1.01,-0.02,0.12,0.06,-0.18,-165.00,26.00,-29.00
0.00,-1.01,-0.02,0.31,0.12,-0.31,-167.00,25.00,-28.00
0.00,-1.01,-0.03,-3.78,0.12,-0.12,-166.00,25.00,-31.00
0.00,-1.01,-0.02,-2.44,0.06,-0.18,-167.00,26.00,-28.00
0.00,-1.01,-0.03,-8.48,0.12,-0.18,-166.00,25.00,-30.00
0.00,-1.01,-0.03,-3.60,0.12,-0.24,-168.00,26.00,-29.00
0.01,-1.01,-0.04,-5.68,0.12,-0.18,-169.00,27.00,-32.00
0.01,-1.01,-0.03,-2.50,0.06,-0.18,-167.00,23.00,-28.00
0.00,-1.01,-0.03,2.26,0.06,-0.18,-166.00,25.00,-30.00
0.00,-1.01,-0.03,-4.64,0.12,-0.24,-165.00,25.00,-30.00
0.00,-1.01,-0.03,1.04,0.06,-0.18,-166.00,25.00,-27.00
0.00,-1.01,-0.03,0.06,0.12,-0.18,-167.00,25.00,-31.00
0.00,-1.01,-0.03,0.55,0.12,-0.24,-168.00,25.00,-29.00
0.00,-1.01,-0.03,-3.36,0.12,-0.18,-166.00,23.00,-27.00
0.00,-1.01,-0.04,-1.77,0.18,-0.18,-166.00,26.00,-32.00
0.00,-1.01,-0.02,4.88,0.12,-0.18,-167.00,24.00,-29.00
0.00,-1.01,-0.02,0.67,0.00,-0.24,-167.00,25.00,-29.00
0.00,-1.01,-0.02,1.46,0.06,-0.18,-166.00,25.00,-30.00
0.00,-1.01,-0.03,-4.52,0.18,-0.24,-167.00,26.00,-27.00
0.00,-1.01,-0.02,-1.46,0.06,-0.12,-167.00,24.00,-28.00
0.00,-1.01,-0.02,3.66,0.18,-0.24,-165.00,25.00,-27.00
0.00,-1.01,-0.02,5.92,0.12,-0.24,-167.00,25.00,-30.00
0.00,-1.01,-0.02,-4.76,0.06,-0.24,-167.00,24.00,-29.00
0.00,-1.01,-0.01,-5.07,0.12,-0.24,-167.00,27.00,-29.00
0.00,-1.01,-0.02,-4.88,0.06,-0.24,-167.00,26.00,-33.00
0.00,-1.01,-0.02,4.58,0.12,-0.24,-167.00,23.00,-27.00
0.00,-1.01,-0.02,1.71,0.12,-0.18,-164.00,25.00,-25.00
0.00,-1.01,-0.02,1.95,0.06,-0.18,-168.00,26.00,-27.00
0.00,-1.01,-0.03,-0.55,0.06,-0.18,-167.00,24.00,-27.00
0.00,-1.01,-0.02,4.82,0.06,-0.18,-168.00,25.00,-27.00
0.00,-1.01,-0.02,1.22,0.12,-0.18,-166.00,25.00,-30.00
0.00,-1.01,-0.03,-1.83,0.06,-0.18,-166.00,26.00,-30.00
0.00,-1.01,-0.02,2.01,0.12,-0.18,-167.00,23.00,-27.00
0.00,-1.01,-0.03,-1.71,0.18,-0.24,-168.00,25.00,-26.00
0.00,-1.01,-0.02,0.92,0.12,-0.18,-166.00,26.00,-32.00
0.01,-1.01,-0.02,-3.36,0.06,-0.24,-166.00,26.00,-27.00
0.00,-1.01,-0.02,-2.99,0.06,-0.24,-167.00,26.00,-30.00
0.00,-1.01,-0.02,2.87,0.12,-0.18,-166.00,25.00,-26.00
0.00,-1.01,-0.02,1.28,0.06,-0.18,-167.00,23.00,-33.00
0.00,-1.01,-0.02,-1.46,0.12,-0.12,-167.00,26.00,-27.00
0.00,-1.01,-0.02,0.06,0.06,-0.24,-167.00,25.00,-29.00
0.00,-1.01,-0.03,1.95,0.06,-0.18,-166.00,24.00,-28.00
0.00,-1.01,-0.03,0.61,0.12,-0.18,-168.00,26.00,-28.00
0.00,-1.01,-0.02,-2.38,0.12,-0.18,-165.00,25.00,-29.00
0.00,-1.01,-0.03,-4.94,0.06,-0.18,-167.00,25.00,-28.00
0.00,-1.01,-0.02,-1.10,0.12,-0.12,-167.00,23.00,-27.00
0.00,-1.01,-0.03,1.77,0.06,-0.24,-168.00,26.00,-29.00
0.00,-1.01,-0.03,6.84,0.06,-0.12,-168.00,23.00,-29.00
0.00,-1.01,-0.01,1.65,0.06,-0.18,-166.00,25.00,-27.00
0.00,-1.01,-0.02,-9.52,0.06,-0.31,-167.00,26.00,-24.00
0.00,-1.01,-0.03,-5.37,0.12,-0.12,-166.00,24.00,-31.00
0.00,-1.01,-0.03,1.28,0.06,-0.18,-166.00,27.00,-29.00
0.00,-1.01,-0.02,-7.51,0.12,-0.24,-167.00,24.00,-32.00
