ax,ay,az,gx,gy,gz,mx,my,mz
0.02,0.97,-0.07,1.22,0.18,-0.31,1.00,-7.00,-6.00
0.02,0.97,-0.06,0.49,0.18,-0.24,1.00,-8.00,-5.00
0.02,0.98,-0.06,1.77,0.12,-0.18,0.00,-7.00,-6.00
0.02,0.97,-0.06,-1.04,0.06,-0.24,0.00,-8.00,-6.00
0.02,0.98,-0.07,1.95,0.06,-0.24,1.00,-8.00,-6.00
0.01,0.97,-0.06,-1.53,0.12,-0.18,1.00,-6.00,-6.00
0.02,0.97,-0.07,1.04,0.18,-0.31,1.00,-3.00,-8.00
0.02,0.98,-0.06,0.67,0.06,-0.24,0.00,-6.00,-6.00
0.02,0.97,-0.06,-0.37,0.06,-0.18,0.00,-7.00,-7.00
0.02,0.97,-0.06,0.31,0.18,-0.24,2.00,-7.00,-4.00
0.02,0.97,-0.06,-1.83,0.12,-0.18,0.00,-6.00,-5.00
0.02,0.97,-0.06,0.37,0.12,-0.18,2.00,-8.00,-9.00
0.02,0.98,-0.06,-0.67,0.06,-0.24,3.00,-7.00,-8.00
0.02,0.97,-0.06,1.53,0.12,-0.24,0.00,-7.00,-8.00
0.02,0.97,-0.06,1.53,0.06,-0.31,1.00,-7.00,-3.00
0.02,0.97,-0.06,-0.24,0.12,-0.24,0.00,-8.00,-4.00
0.02,0.98,-0.05,-0.85,0.12,-0.31,1.00,-7.00,-8.00
0.02,0.98,-0.06,-1.83,0.12,-0.18,1.00,-6.00,-7.00
0.02,0.97,-0.05,0.92,0.18,-0.24,2.00,-5.00,-4.00
0.02,0.97,-0.06,1.22,0.12,-0.24,0.00,-7.00,-2.00
0.02,0.97,-0.06,-1.53,0.06,-0.24,1.00,-8.00,-6.00
0.02,0.98,-0.06,-4.39,0.12,-0.24,1.00,-5.00,-6.00
0.02,0.97,-0.06,-3.97,0.18,-0.24,1.00,-6.00,-3.00
0.02,0.97,-0.06,-1.46,0.12,-0.24,3.00,-8.00,-6.00
0.01,0.98,-0.06,-0.98,0.06,-0.31,1.00,-8.00,-10.00
0.02,0.97,-0.06,-1.53,0.06,-0.24,1.00,-6.00,-8.00
0.02,0.97,-0.06,-1.53,0.18,-0.31,0.00,-6.00,-5.00
0.02,0.97,-0.06,0.37,0.12,-0.24,3.00,-6.00,-7.00
0.02,0.97,-0.06,0.00,0.06,-0.24,1.00,-6.00,-5.00
0.02,0.97,-0.06,-2.62,0.12,-0.31,1.00,-6.00,-6.00
0.02,0.97,-0.06,-0.79,0.12,-0.24,2.00,-7.00,-4.00
0.02,0.98,-0.06,-0.49,0.12,-0.24,2.00,-8.00,-10.00
0.02,0.97,-0.07,-3.05,0.24,-0.31,0.00,-7.00,-6.00
0.02,0.97,-0.07,-1.83,0.18,-0.31,0.00,-6.00,-2.00
0.02,0.97,-0.07,-3.05,0.18,-0.31,0.00,-8.00,-8.00
0.02,0.97,-0.07,-3.60,0.18,-0.24,1.00,-6.00,-9.00
0.02,0.97,-0.07,0.73,0.18,-0.24,3.00,-7.00,-9.00
0.02,0.97,-0.07,-0.67,0.12,-0.24,0.00,-7.00,-7.00
0.02,0.97,-0.07,-2.69,0.12,-0.24,1.00,-9.00,-7.00
0.02,0.97,-0.06,-2.69,0.12,-0.18,0.00,-9.00,-2.00
0.02,0.98,-0.06,-1.28,0.06,-0.31,1.00,-5.00,-8.00
0.02,0.98,-0.06,1.65,0.06,-0.24,1.00,-6.00,-7.00
0.02,0.97,-0.07,-0.37,0.12,-0.24,0.00,-7.00,-2.00
0.02,0.97,-0.07,-1.16,0.12,-0.31,-1.00,-9.00,-7.00
0.02,0.97,-0.07,-2.87,0.06,-0.24,1.00,-5.00,-4.00
0.02,0.97,-0.07,-0.43,0.12,-0.24,0.00,-9.00,-10.00
0.02,0.97,-0.07,3.30,0.12,-0.31,0.00,-5.00,-12.00
0.02,0.97,-0.07,1.40,0.12,-0.24,0.00,-5.00,-12.00
0.02,0.97,-0.07,0.61,0.12,-0.24,1.00,-8.00,-5.00
0.02,0.97,-0.07,-1.53,0.18,-0.31,0.00,-8.00,-6.00
0.02,0.97,-0.07,-0.49,0.12,-0.24,1.00,-8.00,-9.00
0.02,0.97,-0.07,0.18,0.12,-0.24,1.00,-6.00,-8.00
0.02,0.97,-0.07,-0.49,0.06,-0.18,1.00,-7.00,-8.00
0.02,0.97,-0.07,-0.67,0.06,-0.24,0.00,-8.00,-6.00
0.02,0.97,-0.07,0.73,0.12,-0.24,1.00,-7.00,-11.00
0.02,0.97,-0.07,-1.10,0.06,-0.18,0.00,-9.00,-9.00
0.02,0.97,-0.07,-0.98,0.12,-0.18,0.00,-5.00,0.00
0.02,0.97,-0.07,-1.04,0.12,-0.18,1.00,-7.00,-3.00
0.02,0.97,-0.07,-0.79,0.18,-0.24,0.00,-7.00,-10.00
0.02,0.97,-0.07,1.04,0.12,-0.24,0.00,-7.00,-7.00
0.02,0.97,-0.07,-0.61,0.06,-0.31,0.00,-9.00,-2.00
0.02,0.97,-0.07,-0.55,0.12,-0.18,0.00,-7.00,-6.00
0.02,0.97,-0.06,-1.10,0.12,-0.24,-1.00,-9.00,-8.00
0.02,0.97,-0.07,0.67,0.12,-0.24,1.00,-8.00,-8.00
0.02,0.97,-0.07,-0.55,0.12,-0.18,1.00,-7.00,-7.00
0.02,0.97,-0.07,-2.99,0.18,-0.31,0.00,-7.00,-4.00
0.02,0.97,-0.07,-1.59,0.12,-0.24,0.00,-7.00,-8.00
0.02,0.97,-0.07,-1.46,0.12,-0.24,0.00,-7.00,-8.00
0.02,0.97,-0.07,-2.56,0.12,-0.31,0.00,-8.00,-7.00
0.02,0.97,-0.07,-1.53,0.12,-0.31,0.00,-5.00,-5.00
0.02,0.97,-0.07,-1.65,0.12,-0.24,2.00,-7.00,-6.00
0.02,0.97,-0.07,-0.61,0.18,-0.24,1.00,-7.00,-8.00
0.02,0.97,-0.07,0.73,0.06,-0.24,0.00,-3.00,-4.00
0.02,0.97,-0.07,-0.24,0.12,-0.24,1.00,-7.00,-5.00
0.02,0.97,-0.07,0.18,0.12,-0.24,1.00,-7.00,-5.00
0.02,0.97,-0.07,1.65,0.18,-0.24,0.00,-8.00,-6.00
0.02,0.97,-0.07,-0.92,0.18,-0.24,0.00,-7.00,-7.00
0.02,0.97,-0.07,-0.31,0.06,-0.24,0.00,-5.00,-8.00
0.02,0.97,-0.07,-1.22,0.18,-0.24,1.00,-6.00,-10.00
0.02,0.97,-0.07,-0.37,0.06,-0.24,0.00,-6.00,-4.00
0.02,0.97,-0.07,0.31,0.06,-0.24,1.00,-7.00,-7.00
0.02,0.97,-0.07,-0.18,0.06,-0.24,1.00,-9.00,-9.00
0.02,0.97,-0.07,-0.37,0.18,-0.24,0.00,-7.00,-4.00
