ax,ay,az,gx,gy,gz,mx,my,mz
0.02,-0.01,-1.01,0.00,0.18,-0.24,-52.00,-13.00,-32.00
0.03,-0.01,-1.01,-0.06,0.24,-0.31,-52.00,-10.00,-30.00
0.02,-0.01,-1.01,-0.49,0.18,-0.24,-53.00,-10.00,-30.00
0.02,-0.02,-1.01,-0.85,0.18,-0.18,-56.00,-11.00,-32.00
0.02,-0.01,-1.01,0.24,0.24,-0.18,-54.00,-12.00,-27.00
0.03,-0.02,-1.01,-0.55,0.18,-0.18,-56.00,-12.00,-35.00
0.03,-0.02,-1.01,-0.49,0.18,-0.31,-55.00,-11.00,-31.00
0.03,-0.01,-1.01,-0.61,0.06,-0.24,-54.00,-11.00,-33.00
0.02,-0.02,-1.01,-0.49,0.18,-0.18,-51.00,-14.00,-33.00
0.02,-0.01,-1.01,-0.73,0.18,-0.18,-55.00,-11.00,-33.00
0.02,-0.02,-1.01,0.24,0.24,-0.24,-52.00,-12.00,-35.00
0.03,-0.01,-1.01,-0.73,0.12,-0.12,-55.00,-10.00,-30.00
0.03,-0.02,-1.01,-0.73,0.12,-0.18,-55.00,-13.00,-33.00
0.03,-0.02,-1.01,-0.24,0.12,-0.18,-55.00,-11.00,-33.00
0.02,-0.02,-1.01,-1.16,0.18,-0.18,-54.00,-9.00,-36.00
0.02,-0.02,-1.01,0.12,0.24,-0.18,-55.00,-11.00,-35.00
0.02,-0.01,-1.01,-0.67,0.12,-0.12,-54.00,-9.00,-34.00
0.02,-0.02,-1.01,-0.31,0.18,-0.18,-55.00,-13.00,-32.00
0.03,-0.02,-1.01,-0.98,0.12,-0.24,-54.00,-11.00,-33.00
0.03,-0.02,-1.01,-0.73,0.12,-0.31,-56.00,-11.00,-34.00
0.02,-0.01,-1.01,-1.04,0.18,-0.18,-55.00,-10.00,-33.00
0.03,-0.01,-1.01,-0.67,0.12,-0.18,-55.00,-11.00,-34.00
0.03,-0.01,-1.01,-0.24,0.18,-0.31,-55.00,-10.00,-35.00
0.02,-0.02,-1.01,-0.31,0.24,-0.18,-56.00,-11.00,-32.00
0.02,-0.01,-1.01,-0.55,0.18,-0.18,-57.00,-10.00,-34.00
0.03,-0.02,-1.01,-0.73,0.18,-0.24,-54.00,-11.00,-35.00
0.02,-0.01,-1.01,-0.73,0.18,-0.24,-54.00,-12.00,-35.00
0.03,-0.02,-1.01,-0.55,0.12,-0.24,-56.00,-10.00,-33.00
0.03,-0.02,-1.01,-0.43,0.24,-0.18,-57.00,-11.00,-36.00
0.02,-0.02,-1.01,-0.49,0.12,-0.18,-55.00,-13.00,-36.00
0.02,-0.01,-1.01,-0.43,0.12,-0.18,-57.00,-12.00,-32.00
0.02,-0.01,-1.01,-0.61,0.12,-0.18,-55.00,-10.00,-31.00
0.02,-0.02,-1.01,-0.55,0.18,-0.18,-57.00,-11.00,-31.00
0.03,-0.01,-1.01,-0.55,0.24,-0.24,-55.00,-11.00,-31.00
0.02,-0.02,-1.01,-0.12,0.06,-0.18,-55.00,-11.00,-31.00
0.02,-0.01,-1.01,-0.43,0.12,-0.18,-56.00,-13.00,-34.00
0.02,-0.02,-1.01,-0.37,0.12,-0.31,-54.00,-10.00,-29.00
0.03,-0.02,-1.01,-0.37,0.18,-0.18,-54.00,-11.00,-35.00
0.03,-0.02,-1.01,-0.37,0.12,-0.18,-55.00,-11.00,-29.00
0.03,-0.01,-1.01,-0.18,0.18,-0.24,-56.00,-12.00,-31.00
0.03,-0.02,-1.01,-0.43,0.12,-0.24,-56.00,-10.00,-33.00
0.02,-0.02,-1.01,-0.67,0.18,-0.18,-55.00,-12.00,-29.00
0.02,-0.02,-1.01,-0.49,0.12,-0.24,-56.00,-10.00,-30.00
0.02,-0.02,-1.01,-0.43,0.12,-0.18,-56.00,-10.00,-34.00
0.03,-0.01,-1.01,-0.49,0.12,-0.18,-57.00,-12.00,-32.00
0.02,-0.02,-1.01,-0.31,0.18,-0.24,-53.00,-11.00,-33.00
0.03,-0.02,-1.01,-0.43,0.12,-0.24,-52.00,-12.00,-34.00
0.02,-0.01,-1.01,-0.37,0.12,-0.12,-55.00,-10.00,-33.00
0.03,-0.01,-1.01,-0.55,0.18,-0.12,-55.00,-10.00,-32.00
0.02,-0.02,-1.01,-0.18,0.18,-0.24,-54.00,-12.00,-33.00
0.02,-0.02,-1.01,-0.55,0.18,-0.18,-54.00,-11.00,-31.00
0.02,-0.01,-1.01,-0.49,0.12,-0.18,-54.00,-11.00,-33.00
0.03,-0.01,-1.01,-0.18,0.18,-0.18,-54.00,-12.00,-36.00
0.03,-0.01,-1.01,-0.43,0.12,-0.18,-56.00,-13.00,-33.00
0.03,-0.01,-1.01,-0.31,0.18,-0.24,-54.00,-11.00,-31.00
