ax,ay,az,gx,gy,gz,mx,my,mz
0.01,0.98,0.00,0.31,-0.43,-0.61,216.00,73.00,309.00
0.01,0.98,0.00,-0.18,0.24,-0.18,214.00,75.00,307.00
0.01,0.98,0.00,-1.10,0.12,-0.24,214.00,73.00,309.00
0.01,0.98,0.00,-1.95,0.12,-0.18,214.00,71.00,307.00
0.01,0.98,0.00,-0.24,-1.22,-0.24,213.00,74.00,309.00
0.01,0.98,-0.00,-0.43,0.18,-0.24,215.00,74.00,310.00
0.01,0.98,0.00,-0.92,0.18,-0.18,213.00,74.00,312.00
0.01,0.98,-0.00,0.67,0.24,-0.24,216.00,74.00,314.00
0.01,0.98,0.00,-0.24,0.49,-0.43,213.00,72.00,307.00
0.01,0.98,-0.00,-0.73,1.04,0.18,213.00,73.00,310.00
0.01,0.98,-0.00,0.31,0.06,-0.37,212.00,73.00,308.00
0.01,0.98,0.00,-1.40,-0.31,-0.06,213.00,73.00,308.00
0.01,0.98,-0.00,-3.11,-0.61,1.16,214.00,74.00,308.00
0.01,0.98,-0.00,-2.26,-0.31,0.00,214.00,74.00,310.00
0.01,0.98,-0.00,-2.26,-0.31,-0.06,213.00,75.00,310.00
0.01,0.98,0.00,-0.85,0.06,-0.43,216.00,71.00,307.00
0.01,0.98,0.01,-0.55,-0.06,-0.24,215.00,73.00,312.00
0.01,0.98,0.01,0.06,0.31,0.06,214.00,73.00,310.00
0.01,0.98,0.01,-1.16,-0.37,0.06,213.00,73.00,312.00
0.01,0.98,0.00,0.67,0.55,-0.49,216.00,73.00,309.00
0.01,0.98,0.01,0.67,0.98,-0.85,214.00,74.00,314.00
0.01,0.97,0.01,1.83,0.00,-1.10,215.00,75.00,316.00
0.01,0.97,0.01,0.37,0.98,-0.49,217.00,74.00,311.00
0.01,0.98,0.01,0.37,0.24,-0.55,215.00,74.00,316.00
0.01,0.98,0.01,0.43,-0.92,-1.04,214.00,72.00,316.00
0.01,0.98,0.01,-0.55,-0.12,-0.61,214.00,76.00,318.00
0.01,0.98,0.01,-0.92,0.37,-0.24,216.00,72.00,314.00
0.01,0.98,0.01,0.24,-0.43,-0.49,215.00,74.00,313.00
0.01,0.98,0.01,0.00,0.18,-0.61,218.00,74.00,320.00
0.01,0.98,0.01,0.12,0.24,-0.31,217.00,73.00,318.00
0.01,0.98,0.01,-1.10,-0.24,0.00,216.00,76.00,316.00
0.01,0.98,0.01,-0.12,-0.79,-0.73,218.00,75.00,320.00
0.01,0.97,0.01,-0.49,-0.06,0.12,215.00,76.00,313.00
0.01,0.98,0.01,0.06,-0.61,-0.55,217.00,75.00,315.00
0.01,0.98,0.01,-0.79,-0.06,0.43,218.00,74.00,316.00
0.01,0.98,0.01,-0.85,-0.18,-0.61,216.00,72.00,319.00
0.01,0.97,0.02,0.31,0.79,-0.98,216.00,75.00,314.00
0.01,0.97,0.02,-0.49,0.49,0.00,215.00,77.00,317.00
0.01,0.98,0.01,-1.59,1.10,0.37,218.00,76.00,320.00
0.01,0.98,0.02,0.00,-0.79,-0.37,217.00,75.00,317.00
0.01,0.98,0.02,-0.06,0.31,-0.55,217.00,74.00,319.00
0.01,0.98,0.02,-0.67,-0.67,-0.55,215.00,75.00,321.00
0.01,0.98,0.02,0.49,0.24,-0.85,217.00,77.00,319.00
0.02,0.98,0.01,-0.85,0.31,-0.31,220.00,78.00,319.00
0.01,0.98,0.02,-1.28,0.18,0.18,221.00,76.00,320.00
0.01,0.98,0.01,-0.67,-0.18,-0.18,221.00,77.00,319.00
0.01,0.98,0.01,-0.37,0.18,-0.18,220.00,78.00,318.00
0.01,0.98,0.01,-1.46,0.73,0.31,217.00,76.00,322.00
0.02,0.97,0.02,-0.61,0.61,0.61,219.00,78.00,326.00
0.01,0.98,0.01,0.79,0.61,-0.18,217.00,77.00,320.00
0.01,0.98,0.01,-0.18,0.37,0.67,218.00,76.00,321.00
0.01,0.98,0.01,0.00,-0.06,-1.16,218.00,78.00,318.00
0.01,0.98,0.01,-0.85,0.85,0.85,220.00,76.00,320.00
0.01,0.98,0.01,-0.37,0.18,-0.06,216.00,77.00,321.00
0.01,0.98,0.01,0.00,0.37,-0.73,217.00,76.00,318.00
0.01,0.98,0.02,0.12,-0.18,-0.55,216.00,78.00,314.00
0.01,0.97,0.02,-0.61,1.40,0.37,214.00,78.00,318.00
0.01,0.97,0.02,-0.49,0.24,0.31,218.00,76.00,319.00
0.01,0.97,0.02,0.12,0.37,-0.98,216.00,75.00,320.00
0.01,0.98,0.01,-0.61,0.61,0.67,216.00,77.00,318.00
0.01,0.97,0.02,0.12,0.06,-0.55,218.00,78.00,319.00
0.01,0.97,0.02,-0.12,0.79,-0.06,217.00,76.00,323.00
0.01,0.98,0.02,-0.24,0.49,-0.55,218.00,76.00,323.00
0.01,0.98,0.02,-0.79,0.31,0.12,217.00,73.00,320.00
0.01,0.98,0.02,-0.49,0.12,-0.37,218.00,76.00,320.00
0.01,0.98,0.02,-0.67,0.43,0.06,218.00,76.00,328.00
0.01,0.98,0.02,-0.73,0.49,0.12,217.00,75.00,321.00
0.01,0.98,0.02,-1.22,1.40,0.55,215.00,73.00,318.00
0.01,0.98,0.02,-1.16,0.55,0.67,216.00,74.00,319.00
0.01,0.98,0.02,-0.73,0.55,-0.12,214.00,75.00,316.00
0.01,0.97,0.02,0.49,0.43,-0.37,214.00,76.00,321.00
0.01,0.97,0.02,0.24,0.73,-0.98,212.00,73.00,319.00
0.01,0.98,0.02,-0.43,1.22,0.61,213.00,75.00,319.00
0.01,0.98,0.01,-0.67,0.92,0.79,214.00,74.00,320.00
0.01,0.98,0.02,-1.95,-0.61,0.43,213.00,75.00,320.00
0.01,0.98,0.02,-0.61,-0.12,-0.06,214.00,73.00,315.00
0.01,0.98,0.01,0.18,-0.31,-0.61,212.00,75.00,314.00
0.01,0.98,0.01,-1.28,0.37,0.12,211.00,74.00,318.00
0.01,0.98,0.02,-0.79,0.12,0.06,215.00,71.00,316.00
0.01,0.98,0.01,-1.40,0.00,0.00,212.00,74.00,315.00
0.01,0.98,0.02,-0.85,0.24,-0.31,211.00,74.00,320.00
0.01,0.98,0.02,-0.37,0.24,-0.18,212.00,75.00,316.00
0.01,0.98,0.02,-0.06,0.00,-0.37,212.00,74.00,317.00
0.01,0.98,0.01,0.67,0.18,-0.49,212.00,73.00,314.00
0.01,0.98,0.01,-0.61,0.24,-0.31,212.00,76.00,314.00
0.01,0.98,0.02,-0.31,0.31,-0.18,211.00,73.00,318.00
0.01,0.98,0.01,-0.18,0.24,-0.24,212.00,74.00,317.00
0.01,0.98,0.01,-0.85,-0.31,-0.06,212.00,75.00,319.00
0.01,0.98,0.01,-0.24,0.18,-0.31,213.00,75.00,316.00
0.01,0.97,0.01,-0.24,0.06,-0.31,212.00,74.00,317.00
0.01,0.98,0.01,-0.92,0.06,-0.24,212.00,75.00,320.00
0.01,0.98,0.01,-1.83,0.12,-0.06,212.00,75.00,317.00
0.01,0.98,0.02,-1.22,0.06,-0.18,212.00,73.00,313.00
0.01,0.98,0.02,-1.28,-0.06,-0.18,212.00,72.00,318.00
0.01,0.98,0.01,-0.06,0.06,-0.18,211.00,74.00,320.00
0.01,0.97,0.01,-0.43,0.18,-0.24,212.00,76.00,315.00
0.01,0.98,0.01,-0.85,0.00,-0.24,212.00,75.00,316.00
0.01,0.98,0.02,-0.49,0.24,-0.24,213.00,76.00,320.00
0.01,0.98,0.02,-0.61,0.12,-0.18,213.00,75.00,314.00
0.01,0.98,0.01,-0.67,0.12,-0.18,212.00,75.00,317.00
0.01,0.98,0.02,-0.61,0.18,-0.18,211.00,75.00,321.00
0.01,0.98,0.02,-1.34,0.06,-0.12,213.00,74.00,321.00
0.01,0.98,0.02,-0.37,0.12,-0.24,213.00,74.00,319.00
0.01,0.98,0.02,0.00,0.18,-0.31,212.00,77.00,322.00
0.01,0.98,0.02,-0.49,0.06,-0.24,213.00,76.00,320.00
0.01,0.98,0.02,-0.31,0.06,-0.12,212.00,75.00,318.00
0.01,0.98,0.02,-1.59,0.06,-0.18,210.00,76.00,317.00
0.01,0.98,0.02,-0.55,0.18,-0.18,211.00,75.00,320.00
0.01,0.98,0.02,-0.18,0.24,-0.24,211.00,75.00,313.00
0.01,0.98,0.02,-0.49,0.18,-0.24,210.00,75.00,319.00
0.01,0.98,0.02,-1.04,0.00,-0.18,212.00,73.00,321.00
0.01,0.97,0.02,0.06,0.24,-0.31,212.00,75.00,317.00
0.01,0.98,0.02,0.06,0.31,-0.18,211.00,75.00,318.00
0.01,0.97,0.02,-0.12,0.18,-0.31,213.00,74.00,317.00
0.01,0.98,0.01,0.49,0.24,-0.43,212.00,78.00,319.00
0.01,0.98,0.02,-0.67,0.24,-0.24,211.00,74.00,321.00
0.01,0.98,0.02,-0.98,0.12,-0.24,213.00,76.00,312.00
0.01,0.98,0.02,0.37,0.55,-0.24,213.00,73.00,320.00
0.01,0.98,0.02,0.18,0.98,-0.37,211.00,74.00,321.00
0.01,0.97,0.02,-0.43,0.24,-0.18,212.00,75.00,319.00
0.01,0.98,0.02,-1.46,0.24,-0.18,211.00,72.00,314.00
0.01,0.98,0.02,-0.92,0.00,-0.18,211.00,74.00,318.00
0.01,0.97,0.02,-0.31,-0.37,-0.24,213.00,73.00,318.00
0.01,0.98,0.02,-0.61,0.12,-0.18,212.00,77.00,313.00
0.01,0.98,0.02,-0.61,0.18,-0.24,214.00,75.00,316.00
0.01,0.98,0.02,-0.73,0.06,-0.24,211.00,73.00,318.00
0.01,0.97,0.02,2.14,0.06,-0.12,212.00,73.00,316.00
0.01,0.98,0.02,-0.85,0.12,-0.06,211.00,76.00,316.00
0.01,0.98,0.02,-0.18,0.12,-0.24,211.00,73.00,318.00
0.01,0.98,0.02,-0.37,0.18,-0.18,211.00,75.00,323.00
0.01,0.98,0.02,-0.43,0.18,-0.18,209.00,74.00,320.00
0.01,0.97,0.02,-1.10,0.06,-0.18,212.00,72.00,318.00
0.01,0.98,0.02,0.92,0.18,-0.24,211.00,72.00,317.00
0.01,0.98,0.02,-1.34,0.18,-0.24,212.00,73.00,316.00
0.01,0.98,0.02,-0.67,0.18,-0.12,212.00,76.00,319.00
0.01,0.98,0.02,0.67,0.24,-0.18,209.00,74.00,320.00
0.01,0.98,0.02,-0.12,0.49,-0.24,211.00,73.00,317.00
0.01,0.98,0.02,-1.04,0.12,-0.37,211.00,72.00,318.00
0.01,0.97,0.02,-0.73,0.55,-0.37,209.00,73.00,319.00
0.01,0.98,0.02,-1.65,0.31,-0.12,211.00,73.00,319.00
0.01,0.98,0.02,-0.43,0.12,-0.24,211.00,71.00,320.00
0.01,0.98,0.02,0.00,0.31,-0.31,211.00,74.00,320.00
0.01,0.98,0.02,-0.12,0.18,-0.24,211.00,74.00,321.00
0.01,0.97,0.02,-0.61,0.06,-0.31,211.00,73.00,317.00
0.01,0.98,0.02,0.61,0.37,-0.43,209.00,74.00,313.00
0.01,0.98,0.02,0.31,0.00,-0.43,213.00,75.00,316.00
0.01,0.98,0.02,-1.89,0.06,-0.12,211.00,75.00,318.00
0.01,0.98,0.02,-1.22,0.06,-0.24,211.00,73.00,319.00
0.01,0.98,0.02,-0.37,0.18,-0.12,210.00,72.00,320.00
0.01,0.97,0.02,-0.43,0.12,-0.18,209.00,75.00,318.00
0.01,0.98,0.02,-0.67,0.18,-0.24,212.00,75.00,318.00
0.01,0.98,0.02,0.12,0.12,-0.37,210.00,73.00,314.00
0.01,0.98,0.02,0.24,0.18,-0.24,211.00,74.00,319.00
0.01,0.98,0.02,0.12,0.12,-0.31,212.00,75.00,317.00
0.01,0.98,0.02,-0.37,-0.79,-0.31,212.00,75.00,317.00
0.01,0.97,0.02,2.56,3.11,-0.85,211.00,76.00,320.00
0.01,0.97,0.03,2.26,1.28,-0.79,210.00,74.00,318.00
0.01,0.98,0.02,-2.20,0.31,-0.31,210.00,71.00,315.00
0.01,0.97,0.02,0.61,0.67,-0.67,210.00,74.00,315.00
0.01,0.98,0.02,-0.92,-1.28,-0.92,211.00,73.00,321.00
