ax,ay,az,gx,gy,gz,mx,my,mz
0.01,-1.00,-0.01,-1.59,0.18,-0.24,-149.00,-23.00,16.00
0.01,-1.01,-0.01,0.85,0.18,-0.31,-150.00,-23.00,14.00
0.01,-1.01,-0.01,1.89,0.24,-0.18,-149.00,-23.00,14.00
0.01,-1.01,-0.01,-0.12,0.12,-0.18,-150.00,-23.00,8.00
0.01,-1.01,-0.01,-0.85,0.18,-0.24,-149.00,-20.00,11.00
0.01,-1.01,-0.01,-0.98,0.18,-0.24,-149.00,-22.00,20.00
0.01,-1.01,-0.01,-0.18,0.18,-0.24,-150.00,-23.00,12.00
0.01,-1.01,-0.02,-0.12,0.06,-0.24,-149.00,-22.00,11.00
0.01,-1.01,-0.02,1.65,0.12,-0.24,-150.00,-23.00,14.00
0.01,-1.01,-0.02,-1.10,0.06,-0.31,-149.00,-22.00,9.00
0.01,-1.01,-0.02,-0.49,0.24,-0.24,-149.00,-22.00,10.00
0.01,-1.01,-0.02,-0.98,0.18,-0.24,-151.00,-21.00,14.00
0.01,-1.01,-0.02,0.73,0.12,-0.18,-150.00,-24.00,11.00
0.01,-1.01,-0.02,-4.21,0.24,-0.24,-150.00,-23.00,12.00
0.01,-1.01,-0.02,-1.83,0.24,-0.31,-148.00,-23.00,14.00
0.01,-1.01,-0.02,1.40,0.24,-0.31,-149.00,-22.00,10.00
0.01,-1.01,-0.03,2.32,0.12,-0.31,-148.00,-22.00,18.00
0.01,-1.01,-0.03,0.92,0.18,-0.24,-149.00,-23.00,14.00
0.01,-1.01,-0.02,-2.93,0.18,-0.31,-150.00,-23.00,10.00
0.01,-1.01,-0.02,-0.85,0.18,-0.31,-150.00,-23.00,9.00
0.01,-1.01,-0.02,-3.36,0.12,-0.24,-149.00,-23.00,13.00
0.01,-1.01,-0.01,-3.17,0.18,-0.31,-149.00,-23.00,11.00
0.01,-1.01,-0.01,-1.46,0.18,-0.24,-149.00,-23.00,13.00
0.01,-1.01,-0.01,0.73,0.24,-0.24,-150.00,-21.00,10.00
0.01,-1.01,-0.01,-0.37,0.18,-0.24,-150.00,-22.00,10.00
0.01,-1.01,-0.01,0.43,0.12,-0.24,-150.00,-23.00,8.00
0.01,-1.01,-0.01,-0.98,0.12,-0.37,-149.00,-22.00,13.00
0.01,-1.01,-0.02,1.95,0.18,-0.18,-150.00,-20.00,15.00
0.01,-1.01,-0.02,0.06,0.18,-0.18,-149.00,-22.00,14.00
0.01,-1.01,-0.01,0.61,0.18,-0.31,-149.00,-22.00,14.00
0.01,-1.01,-0.02,0.79,0.18,-0.24,-150.00,-23.00,20.00
0.01,-1.01,-0.02,-0.55,0.06,-0.24,-150.00,-24.00,15.00
0.01,-1.01,-0.01,-2.20,0.12,-0.31,-148.00,-23.00,14.00
0.01,-1.01,-0.02,-1.71,0.12,-0.18,-151.00,-22.00,14.00
0.01,-1.01,-0.01,-0.43,0.12,-0.24,-149.00,-23.00,14.00
0.01,-1.01,-0.01,-1.89,0.12,-0.31,-149.00,-23.00,13.00
0.01,-1.01,-0.01,-1.16,0.24,-0.24,-150.00,-22.00,15.00
0.01,-1.01,-0.01,-2.14,0.12,-0.31,-150.00,-22.00,12.00
0.01,-1.01,-0.01,-0.24,0.12,-0.31,-150.00,-21.00,12.00
0.01,-1.01,-0.01,-1.28,0.24,-0.24,-149.00,-23.00,13.00
0.01,-1.01,-0.01,-0.61,0.12,-0.24,-150.00,-22.00,11.00
0.01,-1.01,-0.01,-1.89,0.06,-0.24,-151.00,-24.00,8.00
0.01,-1.01,-0.01,-1.83,0.18,-0.24,-150.00,-22.00,8.00
0.01,-1.01,-0.01,0.98,0.18,-0.24,-149.00,-22.00,14.00
0.01,-1.01,-0.01,0.92,0.18,-0.24,-150.00,-24.00,14.00
0.01,-1.01,-0.01,1.22,0.18,-0.18,-150.00,-21.00,14.00
0.01,-1.01,-0.01,0.61,0.18,-0.24,-150.00,-23.00,15.00
0.01,-1.01,-0.01,-2.20,0.12,-0.31,-150.00,-23.00,16.00
0.01,-1.01,-0.01,-0.67,0.18,-0.37,-152.00,-21.00,15.00
0.01,-1.01,-0.01,-0.79,0.12,-0.24,-150.00,-22.00,14.00
0.01,-1.01,-0.01,0.55,0.12,-0.31,-149.00,-22.00,13.00
0.01,-1.01,-0.01,-1.34,0.24,-0.24,-151.00,-23.00,14.00
0.01,-1.01,-0.01,-2.01,0.12,-0.24,-151.00,-23.00,7.00
0.01,-1.01,-0.01,-1.04,0.18,-0.24,-149.00,-23.00,12.00
0.01,-1.01,-0.01,-2.32,0.18,-0.24,-153.00,-23.00,18.00
0.01,-1.01,-0.01,-0.98,0.18,-0.31,-151.00,-22.00,13.00
0.01,-1.01,-0.01,-1.71,0.12,-0.24,-149.00,-22.00,12.00
0.01,-1.01,-0.01,-2.26,0.18,-0.24,-149.00,-23.00,18.00
0.01,-1.01,-0.01,-0.37,0.12,-0.31,-149.00,-22.00,13.00
0.01,-1.01,-0.01,-0.43,0.24,-0.18,-149.00,-22.00,14.00
0.01,-1.01,-0.01,-0.18,0.24,-0.24,-150.00,-23.00,9.00
0.01,-1.01,-0.01,-2.38,0.18,-0.31,-149.00,-25.00,14.00
0.01,-1.01,-0.01,-2.93,0.24,-0.18,-152.00,-22.00,14.00
0.01,-1.01,-0.01,0.61,0.12,-0.24,-150.00,-24.00,14.00
0.01,-1.01,-0.01,-1.46,0.12,-0.24,-151.00,-21.00,15.00
0.01,-1.01,-0.01,0.12,0.12,-0.24,-153.00,-23.00,15.00
0.01,-1.01,-0.01,0.24,0.18,-0.24,-148.00,-22.00,12.00
0.01,-1.01,-0.01,1.71,0.18,-0.24,-150.00,-23.00,12.00
0.01,-1.01,-0.02,1.34,0.18,-0.24,-149.00,-22.00,13.00
0.01,-1.01,-0.02,-1.95,0.24,-0.24,-150.00,-21.00,12.00
0.01,-1.01,-0.01,0.49,0.18,-0.24,-149.00,-23.00,13.00
0.01,-1.01,-0.01,-1.89,0.18,-0.18,-150.00,-22.00,16.00
0.01,-1.01,-0.01,-1.77,0.12,-0.31,-152.00,-25.00,13.00
0.01,-1.01,-0.01,-2.50,0.24,-0.24,-149.00,-25.00,12.00
0.01,-1.01,-0.01,-1.04,0.12,-0.12,-150.00,-24.00,15.00
0.01,-1.01,-0.01,0.79,0.31,-0.24,-149.00,-22.00,12.00
0.01,-1.01,-0.02,0.92,0.24,-0.18,-150.00,-22.00,11.00
0.01,-1.01,-0.01,2.56,0.24,-0.24,-150.00,-21.00,12.00
0.01,-1.01,-0.01,-2.50,0.06,-0.24,-150.00,-25.00,16.00
0.01,-1.01,-0.01,0.43,0.18,-0.24,-150.00,-21.00,12.00
0.01,-1.01,-0.01,1.34,0.18,-0.24,-148.00,-23.00,10.00
0.01,-1.01,-0.01,1.04,0.18,-0.31,-149.00,-23.00,13.00
0.01,-1.01,-0.01,-0.24,0.12,-0.24,-148.00,-25.00,11.00
0.01,-1.01,-0.01,0.00,0.18,-0.31,-150.00,-23.00,11.00
0.01,-1.01,-0.01,-0.98,0.18,-0.31,-152.00,-22.00,11.00
0.01,-1.01,-0.01,-0.49,0.12,-0.24,-149.00,-22.00,14.00
0.01,-1.01,-0.01,0.92,0.18,-0.24,-149.00,-22.00,16.00
0.01,-1.01,-0.01,-0.85,0.18,-0.31,-149.00,-23.00,12.00
0.01,-1.01,-0.01,-0.67,0.24,-0.24,-149.00,-23.00,14.00
0.01,-1.01,-0.01,-0.12,0.18,-0.31,-150.00,-22.00,14.00
0.01,-1.01,-0.02,-1.83,0.18,-0.31,-150.00,-22.00,15.00
0.01,-1.01,-0.01,-0.06,0.18,-0.31,-150.00,-23.00,14.00
0.01,-1.01,-0.01,-0.98,0.24,-0.31,-151.00,-25.00,12.00
0.01,-1.01,-0.01,-0.18,0.18,-0.31,-147.00,-24.00,15.00
0.01,-1.01,-0.02,0.31,0.24,-0.31,-151.00,-22.00,14.00
0.01,-1.01,-0.01,-0.55,0.24,-0.24,-150.00,-23.00,11.00
0.01,-1.01,-0.01,-0.92,0.18,-0.31,-151.00,-24.00,11.00
0.01,-1.01,-0.01,-0.31,0.12,-0.24,-150.00,-24.00,14.00
0.01,-1.01,-0.01,-0.06,0.18,-0.24,-149.00,-23.00,14.00
0.01,-1.01,-0.01,0.49,0.18,-0.24,-148.00,-23.00,14.00
0.01,-1.01,-0.01,1.16,0.18,-0.24,-150.00,-23.00,10.00
0.01,-1.01,-0.01,-1.04,0.18,-0.31,-150.00,-21.00,12.00
0.01,-1.01,-0.01,0.00,0.18,-0.24,-150.00,-26.00,14.00
0.01,-1.01,-0.01,-0.85,0.18,-0.24,-151.00,-24.00,13.00
0.01,-1.01,-0.01,-0.24,0.18,-0.24,-149.00,-23.00,15.00
0.01,-1.01,-0.01,2.01,0.18,-0.24,-151.00,-24.00,12.00
0.01,-1.01,-0.01,0.12,0.18,-0.24,-150.00,-24.00,10.00
0.01,-1.01,-0.01,-2.14,0.12,-0.24,-151.00,-23.00,12.00
0.01,-1.01,-0.01,-1.04,0.12,-0.37,-150.00,-22.00,12.00
0.01,-1.01,-0.01,0.49,0.12,-0.24,-151.00,-23.00,16.00
0.01,-1.01,-0.01,1.22,0.18,-0.31,-151.00,-23.00,15.00
0.01,-1.01,-0.01,1.28,0.12,-0.24,-151.00,-24.00,16.00
0.01,-1.01,-0.01,1.16,0.18,-0.24,-151.00,-22.00,15.00
0.01,-1.01,-0.02,-1.53,0.12,-0.31,-149.00,-22.00,14.00
0.01,-1.01,-0.01,1.16,0.18,-0.24,-152.00,-22.00,11.00
0.01,-1.01,-0.01,0.61,0.12,-0.31,-150.00,-22.00,16.00
0.01,-1.01,-0.01,-0.79,0.12,-0.37,-151.00,-23.00,12.00
0.01,-1.01,-0.01,-1.65,0.06,-0.31,-150.00,-22.00,8.00
0.01,-1.01,-0.01,0.92,0.12,-0.24,-151.00,-22.00,15.00
0.01,-1.01,-0.01,0.00,0.12,-0.24,-150.00,-23.00,13.00
0.01,-1.01,-0.01,-0.43,0.12,-0.24,-151.00,-21.00,11.00
0.01,-1.01,-0.01,-0.67,0.18,-0.24,-150.00,-22.00,15.00
0.01,-1.01,-0.01,-0.37,0.06,-0.24,-150.00,-23.00,14.00
0.01,-1.01,-0.01,0.98,0.18,-0.24,-151.00,-22.00,16.00
0.01,-1.01,-0.01,0.73,0.18,-0.24,-149.00,-23.00,14.00
0.01,-1.01,-0.01,1.46,0.18,-0.24,-150.00,-23.00,15.00
0.01,-1.01,-0.01,0.06,0.24,-0.31,-150.00,-22.00,12.00
0.01,-1.01,-0.01,-0.92,0.18,-0.24,-151.00,-22.00,12.00
