ax,ay,az,gx,gy,gz,mx,my,mz
0.99,-0.06,0.05,-0.18,0.79,-1.10,-7.00,23.00,-46.00
1.00,-0.06,0.04,-1.59,0.85,0.12,-8.00,27.00,-48.00
1.00,-0.06,0.03,-0.49,1.16,-0.24,-10.00,23.00,-44.00
1.00,-0.06,0.03,-1.46,0.79,0.43,-8.00,24.00,-46.00
1.00,-0.06,0.02,0.79,-1.53,-1.89,-9.00,25.00,-44.00
1.00,-0.07,0.04,-0.18,0.12,-0.73,-7.00,26.00,-45.00
1.00,-0.06,0.04,-0.73,1.28,-0.37,-9.00,23.00,-43.00
1.00,-0.06,0.03,0.31,1.40,-1.22,-9.00,25.00,-41.00
1.00,-0.07,0.04,-2.87,0.55,0.24,-9.00,27.00,-46.00
1.00,-0.07,0.03,0.49,-0.55,-1.34,-7.00,24.00,-44.00
1.00,-0.07,0.03,-1.53,1.40,-0.18,-8.00,26.00,-50.00
1.00,-0.06,0.03,-2.87,1.28,0.55,-9.00,23.00,-41.00
1.00,-0.07,0.02,-0.43,0.61,-0.12,-11.00,24.00,-44.00
1.00,-0.07,0.02,-1.65,2.20,0.12,-11.00,25.00,-45.00
1.00,-0.06,0.03,-1.89,2.32,0.37,-10.00,25.00,-50.00
1.00,-0.07,0.03,-0.24,0.98,-0.43,-10.00,24.00,-48.00
1.00,-0.06,0.03,-0.92,0.31,-0.37,-10.00,23.00,-51.00
1.00,-0.07,0.03,-1.04,0.37,-0.37,-10.00,23.00,-43.00
1.00,-0.07,0.03,-1.46,0.61,-0.18,-9.00,22.00,-47.00
1.00,-0.07,0.03,-0.43,0.00,-0.73,-10.00,23.00,-50.00
1.00,-0.07,0.03,-1.16,-0.49,-0.43,-10.00,24.00,-43.00
1.00,-0.07,0.02,-0.43,-0.43,-0.67,-10.00,23.00,-47.00
1.00,-0.07,0.03,0.37,0.24,-0.61,-12.00,22.00,-44.00
1.00,-0.07,0.02,-1.04,0.79,0.31,-10.00,23.00,-45.00
