ax,ay,az,gx,gy,gz,mx,my,mz
-0.98,0.02,-0.02,0.12,-2.08,2.08,-105.00,264.00,-17.00
-0.98,0.02,-0.02,-1.16,-0.31,0.55,-104.00,262.00,-16.00
-0.98,0.02,-0.02,-1.89,-0.79,2.20,-106.00,264.00,-16.00
-0.98,0.02,-0.02,-1.22,-0.43,-0.73,-105.00,265.00,-16.00
-0.98,0.02,-0.02,0.55,-0.12,-1.16,-107.00,264.00,-14.00
-0.98,0.02,-0.02,0.85,-0.31,-1.59,-103.00,265.00,-10.00
-0.98,0.02,-0.02,-0.24,-2.20,1.46,-106.00,263.00,-16.00
-0.98,0.02,-0.02,-0.61,1.04,-0.67,-104.00,264.00,-11.00
-0.98,0.03,-0.03,0.06,-1.46,0.24,-103.00,263.00,-13.00
-0.98,0.02,-0.03,-0.18,-0.61,0.12,-106.00,265.00,-12.00
-0.98,0.02,-0.02,-1.10,1.22,-0.67,-105.00,267.00,-14.00
-0.98,0.02,-0.02,-0.55,-0.37,0.06,-103.00,263.00,-14.00
-0.98,0.02,-0.03,-1.46,0.24,0.18,-106.00,264.00,-15.00
-0.98,0.02,-0.03,-2.01,1.16,1.10,-103.00,265.00,-18.00
-0.98,0.02,-0.03,-0.73,-0.43,2.14,-106.00,263.00,-18.00
-0.98,0.02,-0.03,-1.46,0.24,0.73,-102.00,262.00,-15.00
-0.98,0.02,-0.03,-0.49,-0.55,0.18,-103.00,264.00,-18.00
-0.98,0.02,-0.03,-3.05,1.65,0.00,-103.00,265.00,-20.00
-0.98,0.02,-0.03,-1.65,0.85,0.55,-103.00,264.00,-18.00
-0.98,0.02,-0.03,-0.24,0.24,-0.24,-105.00,263.00,-16.00
-0.98,0.02,-0.02,0.49,0.55,0.00,-102.00,264.00,-16.00
-0.98,0.02,-0.03,-0.31,0.55,-1.22,-103.00,264.00,-19.00
-0.98,0.02,-0.03,-0.24,-0.61,-0.79,-105.00,264.00,-19.00
-0.98,0.02,-0.03,-0.06,-0.31,-0.49,-105.00,262.00,-14.00
-0.98,0.02,-0.03,-0.49,0.37,-0.61,-102.00,264.00,-15.00
-0.98,0.02,-0.03,-0.24,-0.24,-0.31,-101.00,263.00,-19.00
-0.98,0.02,-0.03,-1.59,0.61,-0.43,-103.00,264.00,-19.00
-0.98,0.02,-0.03,-0.61,-0.98,0.00,-105.00,264.00,-20.00
-0.98,0.02,-0.03,-0.67,0.49,-1.04,-103.00,262.00,-13.00
-0.98,0.02,-0.03,-0.55,0.73,-0.73,-105.00,264.00,-16.00
-0.98,0.02,-0.03,0.49,0.49,-0.79,-105.00,261.00,-13.00
-0.98,0.02,-0.03,-1.34,0.24,-0.31,-103.00,265.00,-18.00
-0.98,0.02,-0.03,-2.08,0.98,-0.85,-103.00,266.00,-18.00
-0.98,0.02,-0.03,-1.53,0.12,-0.43,-102.00,263.00,-14.00
-0.98,0.02,-0.03,-1.46,0.24,-0.24,-104.00,264.00,-18.00
-0.98,0.02,-0.03,-0.43,-0.55,0.55,-105.00,261.00,-17.00
-0.98,0.02,-0.03,-0.85,0.18,0.37,-103.00,262.00,-15.00
-0.98,0.02,-0.03,-0.79,0.12,-0.31,-102.00,265.00,-17.00
-0.98,0.03,-0.03,-0.98,0.31,-0.06,-105.00,265.00,-18.00
-0.98,0.03,-0.03,-0.79,0.37,-0.24,-104.00,264.00,-17.00
-0.98,0.03,-0.03,-1.46,0.18,0.92,-102.00,265.00,-14.00
-0.98,0.03,-0.03,-0.24,0.12,0.37,-102.00,264.00,-12.00
-0.98,0.03,-0.02,-1.04,0.98,-1.34,-104.00,264.00,-13.00
-0.98,0.02,-0.03,-0.79,0.55,-0.98,-102.00,265.00,-16.00
-0.98,0.02,-0.03,-0.98,0.18,-0.49,-105.00,261.00,-16.00
-0.98,0.03,-0.03,-0.37,0.12,-0.92,-105.00,266.00,-16.00
-0.98,0.03,-0.03,-0.06,-0.18,-0.24,-104.00,266.00,-14.00
-0.98,0.03,-0.03,0.24,-0.31,-0.73,-106.00,266.00,-14.00
-0.98,0.03,-0.03,0.55,-0.85,-0.73,-104.00,265.00,-18.00
-0.98,0.03,-0.03,-1.40,0.79,-0.55,-104.00,264.00,-20.00
-0.98,0.03,-0.03,-1.40,0.67,-0.92,-105.00,263.00,-16.00
-0.98,0.02,-0.03,-0.49,0.43,-0.73,-105.00,266.00,-17.00
-0.98,0.02,-0.03,-1.40,0.12,0.12,-104.00,263.00,-16.00
-0.98,0.03,-0.03,0.18,-1.04,0.67,-103.00,263.00,-15.00
-0.98,0.02,-0.03,-0.49,-0.37,1.16,-104.00,266.00,-16.00
-0.98,0.03,-0.03,-0.61,-0.06,0.18,-104.00,266.00,-16.00
-0.98,0.03,-0.03,-0.43,0.18,0.18,-103.00,266.00,-21.00
-0.98,0.03,-0.03,-0.85,0.55,-0.18,-104.00,266.00,-13.00
-0.98,0.03,-0.03,-1.22,-0.18,-0.12,-104.00,264.00,-17.00
-0.98,0.02,-0.03,-0.79,0.49,-0.79,-106.00,266.00,-14.00
-0.98,0.03,-0.03,-0.37,0.24,-0.37,-103.00,265.00,-14.00
-0.98,0.02,-0.03,-0.55,0.12,-0.55,-104.00,265.00,-18.00
-0.98,0.03,-0.03,-0.24,-0.43,0.31,-105.00,264.00,-16.00
-0.98,0.02,-0.03,0.06,-0.06,-0.79,-103.00,266.00,-18.00
-0.98,0.03,-0.03,-0.61,-0.12,-0.37,-103.00,267.00,-21.00
-0.98,0.03,-0.03,-1.10,0.24,-0.06,-105.00,266.00,-15.00
-0.98,0.02,-0.03,-0.79,0.06,0.49,-103.00,264.00,-18.00
-0.98,0.03,-0.03,-0.55,0.31,-0.06,-106.00,266.00,-20.00
-0.98,0.03,-0.03,-0.73,-0.06,0.55,-105.00,265.00,-20.00
-0.98,0.03,-0.03,-1.34,0.85,-0.43,-103.00,263.00,-19.00
-0.98,0.03,-0.03,-0.61,0.06,-0.12,-103.00,266.00,-16.00
-0.98,0.03,-0.03,-0.43,0.00,-0.31,-103.00,264.00,-19.00
-0.98,0.03,-0.03,-0.12,-0.12,-0.24,-106.00,266.00,-15.00
-0.98,0.03,-0.03,-1.53,0.55,0.37,-106.00,265.00,-17.00
-0.98,0.03,-0.03,-0.43,-0.24,0.00,-105.00,265.00,-9.00
-0.98,0.03,-0.03,-0.24,-0.37,0.43,-103.00,263.00,-17.00
-0.98,0.03,-0.03,-0.61,0.61,-0.73,-103.00,265.00,-18.00
-0.98,0.03,-0.03,-0.73,0.24,-0.24,-104.00,264.00,-21.00
-0.98,0.03,-0.03,-0.98,0.61,-0.49,-104.00,266.00,-21.00
-0.98,0.03,-0.03,0.06,0.00,-1.16,-104.00,266.00,-14.00
-0.98,0.03,-0.03,-0.18,0.12,-1.40,-104.00,268.00,-16.00
-0.98,0.03,-0.03,0.12,-0.12,-0.85,-103.00,264.00,-16.00
-0.98,0.03,-0.03,-0.85,0.49,-0.18,-103.00,266.00,-13.00
-0.98,0.03,-0.03,-0.12,0.12,-0.73,-105.00,266.00,-16.00
-0.98,0.03,-0.03,-0.24,0.00,-0.49,-103.00,266.00,-18.00
-0.98,0.03,-0.03,-0.79,0.12,0.31,-103.00,266.00,-14.00
-0.98,0.03,-0.03,-0.18,0.31,-0.18,-105.00,264.00,-20.00
-0.98,0.03,-0.03,-0.55,0.12,-0.24,-104.00,263.00,-20.00
-0.98,0.03,-0.03,-0.31,0.00,-0.61,-102.00,265.00,-17.00
-0.98,0.02,-0.03,0.18,-0.79,0.12,-102.00,268.00,-20.00
-0.98,0.03,-0.03,-1.16,0.06,-0.12,-101.00,267.00,-22.00
-0.98,0.03,-0.03,-0.79,0.18,0.43,-104.00,265.00,-18.00
-0.98,0.03,-0.03,0.00,0.31,-0.73,-106.00,267.00,-11.00
-0.98,0.03,-0.03,-0.18,0.12,-1.22,-105.00,266.00,-11.00
-0.98,0.03,-0.03,-0.73,0.79,-0.06,-103.00,267.00,-18.00
-0.98,0.03,-0.03,0.31,0.31,-1.04,-104.00,266.00,-18.00
-0.98,0.03,-0.03,-0.49,0.43,-1.04,-102.00,267.00,-19.00
-0.98,0.03,-0.03,-0.55,0.00,-0.55,-103.00,266.00,-16.00
-0.98,0.03,-0.03,-0.43,0.79,-1.04,-107.00,266.00,-16.00
-0.98,0.03,-0.03,-0.37,0.06,0.61,-104.00,268.00,-15.00
-0.98,0.03,-0.03,-0.85,0.55,-0.37,-104.00,266.00,-16.00
-0.98,0.03,-0.03,-0.55,0.37,0.37,-102.00,267.00,-16.00
-0.98,0.03,-0.03,-0.55,0.24,0.31,-102.00,265.00,-15.00
-0.98,0.03,-0.03,-0.12,-0.24,-0.18,-103.00,267.00,-20.00
-0.98,0.03,-0.03,0.43,-0.37,0.06,-106.00,266.00,-16.00
-0.98,0.03,-0.03,-0.79,0.06,0.18,-105.00,268.00,-17.00
-0.98,0.03,-0.03,-0.55,0.55,0.00,-105.00,266.00,-18.00
-0.98,0.03,-0.03,-0.67,0.18,-0.06,-103.00,263.00,-17.00
-0.98,0.03,-0.03,-0.85,0.06,0.06,-105.00,266.00,-17.00
-0.98,0.03,-0.03,-0.73,0.49,-0.24,-104.00,266.00,-16.00
-0.98,0.02,-0.03,-0.43,0.00,0.37,-102.00,267.00,-14.00
-0.98,0.03,-0.03,0.18,0.00,-0.73,-103.00,266.00,-17.00
-0.98,0.02,-0.03,-0.49,0.00,0.43,-103.00,266.00,-14.00
-0.98,0.03,-0.04,-0.12,-0.12,-0.06,-103.00,264.00,-14.00
-0.98,0.03,-0.04,-0.55,-0.06,0.12,-103.00,263.00,-19.00
-0.98,0.03,-0.03,-0.61,0.06,-0.24,-103.00,265.00,-16.00
-0.98,0.03,-0.03,0.00,0.43,-0.73,-104.00,266.00,-18.00
-0.98,0.03,-0.03,0.18,0.06,-0.43,-102.00,263.00,-19.00
-0.98,0.03,-0.03,-0.37,-0.24,-0.18,-104.00,264.00,-16.00
-0.98,0.03,-0.03,-1.16,0.85,-1.10,-103.00,265.00,-18.00
-0.98,0.03,-0.03,-1.46,0.92,-0.67,-103.00,264.00,-17.00
-0.98,0.03,-0.03,0.18,-0.24,-0.49,-106.00,263.00,-16.00
-0.98,0.03,-0.03,0.73,-0.61,0.00,-105.00,264.00,-14.00
-0.98,0.03,-0.03,-0.55,0.31,-0.18,-105.00,266.00,-17.00
-0.98,0.03,-0.03,-0.06,0.12,-0.31,-103.00,266.00,-18.00
-0.98,0.03,-0.03,-0.18,0.18,-0.67,-104.00,266.00,-18.00
-0.98,0.03,-0.03,-0.43,-0.18,-0.06,-104.00,268.00,-18.00
-0.98,0.02,-0.03,-1.89,1.22,-0.49,-104.00,266.00,-18.00
-0.98,0.03,-0.03,-1.10,0.85,-0.55,-105.00,265.00,-20.00
-0.98,0.03,-0.03,-0.43,0.12,0.43,-99.00,266.00,-18.00
