ax,ay,az,gx,gy,gz,mx,my,mz
0.00,-0.00,1.00,-0.31,0.18,-0.31,-33.00,-14.00,32.00
0.01,-0.00,0.99,-0.37,0.18,-0.18,-36.00,-14.00,39.00
0.00,-0.00,1.00,-0.43,0.06,-0.24,-35.00,-14.00,37.00
0.00,-0.00,1.00,-0.49,0.24,-0.31,-36.00,-14.00,40.00
0.00,-0.00,1.00,-0.43,0.18,-0.24,-37.00,-14.00,39.00
0.00,-0.00,1.00,-0.43,0.18,-0.31,-37.00,-16.00,34.00
0.01,-0.00,1.00,-0.43,0.18,-0.24,-35.00,-13.00,38.00
0.00,-0.00,1.00,-0.49,0.24,-0.37,-34.00,-13.00,38.00
0.00,-0.00,1.00,-0.43,0.18,-0.18,-36.00,-14.00,36.00
0.01,-0.00,1.00,-0.37,0.18,-0.24,-35.00,-15.00,35.00
0.00,-0.00,1.00,-0.43,0.18,-0.24,-38.00,-13.00,37.00
0.01,-0.00,1.00,-0.43,0.18,-0.31,-35.00,-13.00,38.00
0.00,-0.00,1.00,-0.37,0.18,-0.24,-37.00,-15.00,40.00
0.00,-0.00,1.00,-0.37,0.18,-0.24,-35.00,-14.00,30.00
0.00,-0.00,1.00,-0.43,0.24,-0.24,-36.00,-15.00,33.00
0.00,-0.00,1.00,-0.43,0.12,-0.24,-36.00,-14.00,37.00
0.00,-0.00,1.00,-0.43,0.18,-0.31,-37.00,-14.00,37.00
0.00,-0.00,1.00,-0.43,0.18,-0.24,-37.00,-15.00,35.00
0.00,-0.00,1.00,-0.43,0.18,-0.24,-37.00,-13.00,39.00
0.00,-0.00,1.00,-0.37,0.24,-0.31,-35.00,-13.00,35.00
0.01,-0.00,1.00,-0.43,0.18,-0.31,-36.00,-13.00,40.00
0.01,-0.00,1.00,-0.49,0.18,-0.24,-35.00,-16.00,35.00
0.00,-0.00,1.00,-0.43,0.18,-0.24,-35.00,-13.00,35.00
0.00,-0.00,1.00,-0.37,0.18,-0.31,-37.00,-16.00,32.00
0.00,-0.00,1.00,-0.49,0.18,-0.24,-37.00,-13.00,36.00
0.00,-0.00,1.00,-0.43,0.24,-0.31,-37.00,-15.00,38.00
0.00,-0.00,1.00,-0.43,0.24,-0.24,-39.00,-13.00,36.00
0.00,-0.00,1.00,-0.37,0.18,-0.24,-36.00,-12.00,39.00
0.00,-0.00,1.00,-0.43,0.18,-0.37,-35.00,-14.00,33.00
0.00,-0.00,1.00,-0.49,0.18,-0.37,-37.00,-15.00,39.00
0.01,-0.00,1.00,-0.37,0.18,-0.24,-38.00,-15.00,36.00
0.00,-0.00,1.00,-0.37,0.24,-0.24,-38.00,-12.00,36.00
0.00,-0.00,1.00,-0.37,0.12,-0.18,-36.00,-13.00,34.00
0.00,-0.00,1.00,-0.37,0.12,-0.31,-37.00,-12.00,33.00
0.00,-0.00,1.00,-0.43,0.12,-0.24,-37.00,-13.00,38.00
0.00,-0.00,1.00,-0.37,0.18,-0.24,-37.00,-14.00,37.00
0.00,-0.00,1.00,-0.37,0.18,-0.24,-36.00,-14.00,35.00
0.00,-0.00,1.00,-0.43,0.18,-0.31,-37.00,-13.00,39.00
0.00,-0.00,1.00,-0.49,0.18,-0.24,-39.00,-14.00,34.00
0.00,-0.00,1.00,-0.49,0.24,-0.24,-37.00,-12.00,31.00
0.00,-0.00,1.00,-0.43,0.12,-0.24,-34.00,-14.00,35.00
0.00,-0.00,1.00,-0.43,0.18,-0.31,-35.00,-13.00,38.00
0.00,-0.00,1.00,-0.37,0.18,-0.24,-37.00,-13.00,41.00
0.00,-0.00,1.00,-0.37,0.18,-0.24,-36.00,-17.00,37.00
0.00,-0.00,1.00,-0.49,0.18,-0.24,-36.00,-14.00,36.00
0.01,-0.00,1.00,-0.37,0.18,-0.31,-38.00,-11.00,37.00
0.01,-0.00,1.00,-0.43,0.12,-0.37,-37.00,-13.00,35.00
0.00,-0.00,1.00,-0.43,0.12,-0.24,-33.00,-13.00,38.00
0.00,-0.00,1.00,-0.43,0.18,-0.37,-35.00,-12.00,38.00
0.00,-0.00,1.00,-0.43,0.24,-0.24,-36.00,-14.00,37.00
0.01,-0.00,1.00,-0.49,0.18,-0.24,-37.00,-15.00,37.00
0.01,-0.00,1.00,-0.43,0.12,-0.24,-36.00,-17.00,35.00
0.00,-0.00,1.00,-0.43,0.18,-0.24,-34.00,-12.00,36.00
0.00,-0.00,1.00,-0.49,0.12,-0.31,-38.00,-13.00,34.00
0.01,-0.00,1.00,-0.43,0.18,-0.31,-37.00,-13.00,39.00
0.00,-0.00,1.00,-0.49,0.18,-0.24,-37.00,-14.00,37.00
0.00,-0.00,1.00,-0.43,0.18,-0.37,-36.00,-16.00,36.00
0.00,-0.00,1.00,-0.43,0.24,-0.24,-37.00,-14.00,35.00
0.00,-0.00,1.00,-0.37,0.18,-0.31,-36.00,-12.00,38.00
0.00,-0.00,1.00,-0.43,0.18,-0.31,-37.00,-14.00,39.00
0.00,-0.00,1.00,-0.49,0.12,-0.31,-38.00,-15.00,38.00
0.00,-0.00,1.00,-0.43,0.18,-0.31,-36.00,-14.00,37.00
0.00,-0.00,1.00,-0.43,0.24,-0.24,-36.00,-14.00,37.00
0.00,-0.00,1.00,-0.37,0.18,-0.24,-37.00,-11.00,32.00
0.00,-0.00,1.00,-0.37,0.12,-0.18,-37.00,-17.00,36.00
0.00,-0.00,1.00,-0.43,0.12,-0.31,-36.00,-14.00,37.00
0.00,-0.00,1.00,-0.43,0.12,-0.24,-36.00,-12.00,36.00
0.00,-0.00,1.00,-0.49,0.24,-0.37,-37.00,-13.00,33.00
0.00,-0.00,1.00,-0.43,0.12,-0.24,-38.00,-13.00,31.00
0.01,-0.00,1.00,-0.43,0.18,-0.31,-36.00,-15.00,38.00
0.00,-0.00,1.00,-0.43,0.18,-0.24,-35.00,-13.00,38.00
0.00,-0.00,1.00,-0.43,0.24,-0.31,-37.00,-13.00,41.00
0.00,-0.00,1.00,-0.43,0.24,-0.31,-37.00,-14.00,37.00
0.00,-0.00,1.00,-0.37,0.18,-0.24,-35.00,-14.00,31.00
0.00,-0.00,1.00,-0.37,0.18,-0.37,-36.00,-12.00,36.00
0.00,-0.00,1.00,-0.43,0.18,-0.31,-38.00,-14.00,38.00
0.00,-0.00,1.00,-0.37,0.24,-0.31,-36.00,-13.00,33.00
0.00,-0.00,1.00,-0.43,0.18,-0.31,-36.00,-13.00,38.00
0.00,-0.00,1.00,-0.37,0.12,-0.24,-37.00,-17.00,37.00
0.00,-0.00,1.00,-0.55,0.12,-0.31,-34.00,-16.00,37.00
0.00,-0.00,1.00,-0.37,0.18,-0.31,-36.00,-15.00,41.00
0.00,-0.00,1.00,-0.37,0.12,-0.24,-37.00,-15.00,32.00
0.00,-0.00,1.00,-0.37,0.18,-0.31,-34.00,-14.00,38.00
0.00,-0.00,1.00,-0.43,0.18,-0.24,-37.00,-12.00,35.00
0.00,-0.00,1.00,-0.37,0.18,-0.24,-37.00,-16.00,39.00
0.00,-0.00,1.00,-0.37,0.18,-0.24,-37.00,-12.00,38.00
0.01,-0.00,1.00,-0.37,0.18,-0.31,-38.00,-13.00,41.00
0.00,-0.00,1.00,-0.43,0.12,-0.24,-37.00,-13.00,40.00
0.00,-0.00,1.00,-0.43,0.12,-0.31,-37.00,-14.00,35.00
0.00,-0.00,1.00,-0.37,0.12,-0.24,-37.00,-14.00,37.00
0.01,-0.01,1.00,-0.37,0.18,-0.31,-37.00,-16.00,36.00
0.00,-0.00,1.00,-0.37,0.18,-0.31,-37.00,-13.00,35.00
0.00,-0.00,1.00,-0.37,0.18,-0.31,-36.00,-14.00,39.00
0.00,-0.00,1.00,-0.37,0.18,-0.24,-35.00,-14.00,36.00
