ax,ay,az,gx,gy,gz,mx,my,mz
-0.03,1.79,0.23,58.23,-44.80,25.82,-14.00,-2.00,18.00
0.12,1.42,0.08,161.38,-99.37,34.55,-15.00,1.00,29.00
0.37,0.26,0.87,289.31,99.85,4.03,-37.00,5.00,46.00
0.03,-1.47,-0.74,452.09,-9.40,10.01,-87.00,-2.00,28.00
0.06,-0.96,-0.32,-687.01,-216.00,-93.20,-79.00,0.00,25.00
0.14,1.15,0.55,-950.07,382.51,81.05,-21.00,-3.00,27.00
0.22,1.79,0.07,374.88,-94.60,-27.53,-18.00,-6.00,23.00
0.22,-0.44,1.01,261.84,96.25,1.71,-43.00,6.00,44.00
-0.17,-1.38,0.04,263.98,-4.52,-14.04,-74.00,-2.00,39.00
-0.34,-1.10,-0.60,-73.18,-246.28,-218.81,-88.00,9.00,27.00
0.07,0.29,1.55,-397.89,335.75,92.41,-53.00,-2.00,39.00
0.36,0.14,1.10,175.66,-56.52,-76.42,-63.00,1.00,36.00
-0.01,-1.16,0.37,917.72,-54.63,-35.71,-95.00,12.00,-2.00
-0.32,-0.16,-1.37,151.37,-83.07,-2.20,-87.00,3.00,-32.00
0.11,0.21,-1.38,-112.79,-191.47,-341.25,-87.00,5.00,-25.00
-0.50,-1.37,0.55,-287.29,55.60,89.48,-91.00,13.00,-4.00
-0.81,-1.40,0.79,33.94,19.04,-48.34,-95.00,21.00,3.00
-0.05,-1.01,-0.12,122.86,-32.17,-28.44,-90.00,19.00,-9.00
-0.16,-0.01,-1.19,0.12,119.75,361.63,-78.00,7.00,-40.00
-0.19,0.70,-1.56,-185.18,-40.10,-138.12,-84.00,8.00,-38.00
-0.24,-1.23,-0.30,-326.42,168.82,-40.04,-91.00,17.00,-12.00
-1.00,-1.54,1.26,-68.73,-26.79,47.73,-92.00,19.00,0.00
0.05,-0.85,-0.13,469.48,48.65,44.68,-86.00,20.00,-17.00
-0.69,0.29,-1.97,-148.68,501.53,487.30,-86.00,23.00,-38.00
-0.73,0.43,-1.37,56.82,-24.60,-34.61,-75.00,16.00,-56.00
0.07,-1.14,-0.81,-184.08,179.69,24.17,-79.00,18.00,-44.00
0.35,-1.24,-0.42,11.17,-55.85,-31.86,-78.00,14.00,-39.00
0.19,-1.36,-0.26,18.01,107.73,-2.56,-73.00,16.00,-38.00
-0.18,0.21,-0.96,153.69,-68.30,-141.54,-55.00,22.00,-47.00
-0.54,0.77,-1.06,23.07,-1.59,-86.30,-49.00,20.00,-54.00
-0.27,0.47,-0.90,-155.94,-21.55,-88.13,-57.00,14.00,-48.00
-0.43,-0.97,-1.00,81.48,-13.18,0.31,-65.00,17.00,-45.00
-0.50,-0.85,-0.81,54.81,2.38,-31.98,-61.00,22.00,-48.00
-0.12,-0.04,-0.92,143.25,-134.58,-102.91,-52.00,14.00,-43.00
0.02,1.02,-0.85,59.81,-23.38,142.94,-34.00,13.00,-53.00
-0.44,0.74,-0.77,-558.29,390.38,157.41,-58.00,18.00,-50.00
-0.53,-1.60,-0.41,-121.28,-25.39,10.74,-84.00,21.00,-25.00
-0.20,-1.06,-0.69,482.18,-127.50,-3.97,-69.00,17.00,-41.00
-0.24,-0.48,-0.58,123.41,78.12,-103.52,-58.00,16.00,-44.00
-0.40,1.17,-0.91,293.33,-242.61,-124.63,-25.00,15.00,-48.00
-0.30,0.93,-0.53,342.29,-57.68,38.51,-10.00,21.00,-44.00
-0.46,0.79,-0.48,193.36,-106.75,-1.77,-1.00,14.00,-16.00
-0.02,0.22,-1.46,-659.48,-88.75,-19.90,-13.00,12.00,-33.00
