ax,ay,az,gx,gy,gz,mx,my,mz
0.01,-0.03,1.03,-2.08,-1.16,-1.53,-31.00,36.00,45.00
0.01,-0.03,0.96,0.79,0.98,-0.61,-28.00,38.00,49.00
0.01,-0.03,0.99,0.18,0.18,-2.20,-30.00,39.00,46.00
0.01,-0.04,0.93,21.85,-0.06,3.11,-30.00,36.00,47.00
0.01,-0.03,1.03,-3.05,0.73,-7.20,-30.00,37.00,50.00
0.01,-0.08,0.94,9.09,1.04,-15.75,-30.00,36.00,41.00
0.01,-0.07,1.01,-0.49,-3.54,-4.82,-31.00,36.00,46.00
0.00,-0.13,1.00,10.31,0.37,-4.03,-33.00,37.00,49.00
0.00,-0.14,0.95,36.93,-1.04,-0.24,-31.00,37.00,43.00
0.02,-0.11,0.94,30.46,35.10,20.94,-38.00,37.00,46.00
0.05,-0.21,0.96,32.10,38.70,39.73,-40.00,35.00,47.00
0.06,-0.08,1.09,-89.60,-57.74,46.14,-43.00,35.00,51.00
0.07,-0.07,0.68,-59.14,-27.89,-48.22,-40.00,37.00,44.00
-0.01,-0.08,1.11,-17.94,10.19,-1.46,-34.00,38.00,44.00
0.02,0.02,1.13,-43.15,-8.85,-17.70,-31.00,39.00,45.00
0.03,0.12,1.05,-58.65,-15.14,-0.98,-26.00,40.00,41.00
0.03,0.19,0.92,-127.81,0.85,-6.35,-20.00,41.00,40.00
-0.01,0.45,0.83,-138.49,1.59,6.53,-9.00,39.00,31.00
-0.03,0.70,0.70,-138.67,-14.47,10.01,-5.00,41.00,21.00
-0.04,0.80,0.53,-133.30,-8.91,0.55,-1.00,42.00,11.00
-0.07,0.93,0.37,-114.32,-9.95,-5.68,2.00,41.00,2.00
-0.07,0.94,0.23,-81.24,-2.26,-8.85,1.00,41.00,-8.00
-0.07,0.95,0.13,-73.36,-5.62,-6.71,0.00,43.00,-10.00
-0.06,1.02,-0.09,-122.80,-5.92,-6.53,-1.00,41.00,-23.00
-0.03,0.88,-0.26,-149.48,-3.66,-12.82,-7.00,41.00,-31.00
0.00,0.91,-0.60,-96.01,8.42,0.61,-14.00,39.00,-39.00
-0.01,0.83,-0.67,-13.12,7.75,16.85,-18.00,38.00,-44.00
-0.01,0.75,-0.57,-3.36,0.85,-1.22,-19.00,37.00,-45.00
-0.03,0.79,-0.58,10.74,1.22,-6.41,-19.00,40.00,-38.00
-0.04,0.84,-0.58,-4.15,-1.89,-8.91,-15.00,39.00,-39.00
-0.02,0.78,-0.57,-15.93,-3.05,-1.40,-19.00,37.00,-37.00
-0.01,0.75,-0.61,-26.98,-1.71,1.34,-19.00,39.00,-42.00
-0.02,0.74,-0.62,-10.25,-1.40,-1.83,-21.00,40.00,-44.00
-0.02,0.73,-0.63,3.17,-1.28,-4.39,-20.00,40.00,-44.00
-0.01,0.74,-0.62,5.19,0.49,-0.55,-18.00,39.00,-43.00
-0.02,0.79,-0.64,-2.50,-1.95,-1.89,-20.00,41.00,-42.00
-0.02,0.76,-0.60,14.71,2.81,-1.95,-19.00,43.00,-41.00
-0.01,0.79,-0.60,1.71,-1.22,-1.95,-19.00,38.00,-41.00
-0.02,0.75,-0.52,-9.77,-7.63,-10.62,-18.00,40.00,-46.00
-0.01,0.83,-0.59,-2.56,-4.94,-6.41,-14.00,39.00,-40.00
-0.00,0.79,-0.54,10.86,-2.87,-0.31,-15.00,37.00,-40.00
0.01,0.79,-0.57,7.26,-3.60,-4.46,-13.00,37.00,-39.00
-0.01,0.86,-0.54,16.11,-9.64,-9.03,-16.00,39.00,-40.00
0.06,0.83,-0.51,18.86,2.75,-2.38,-14.00,38.00,-42.00
0.07,0.85,-0.53,-5.31,1.71,-25.70,-12.00,36.00,-34.00
0.07,0.83,-0.47,6.90,-6.10,-17.70,-9.00,37.00,-37.00
0.08,0.81,-0.48,2.93,-3.66,-18.25,-11.00,35.00,-39.00
0.09,0.82,-0.51,-24.17,7.20,4.33,-10.00,37.00,-36.00
0.10,0.81,-0.52,-74.83,6.71,20.87,-11.00,37.00,-37.00
0.04,0.78,-0.61,-40.95,5.31,0.67,-14.00,37.00,-42.00
0.02,0.70,-0.69,-29.91,-4.46,-16.36,-19.00,39.00,-41.00
0.04,0.62,-0.74,-58.72,7.32,1.65,-22.00,39.00,-49.00
0.05,0.57,-0.79,-57.74,-1.34,-7.81,-27.00,37.00,-51.00
0.04,0.50,-0.82,-58.11,8.30,4.03,-31.00,40.00,-52.00
0.01,0.41,-0.91,-57.37,11.47,10.31,-36.00,38.00,-47.00
0.02,0.25,-0.93,-61.34,17.40,10.19,-44.00,39.00,-47.00
-0.01,0.16,-0.98,-92.65,5.55,4.52,-50.00,41.00,-48.00
0.00,0.02,-1.01,-70.56,9.77,6.16,-59.00,39.00,-51.00
-0.03,-0.06,-1.02,-21.73,25.09,4.94,-63.00,40.00,-45.00
-0.04,-0.09,-1.02,-24.11,2.69,2.56,-63.00,38.00,-47.00
-0.06,-0.15,-1.03,-14.28,-15.81,1.65,-68.00,40.00,-43.00
-0.03,-0.14,-0.99,13.12,-10.80,-2.93,-71.00,38.00,-46.00
-0.01,-0.13,-1.01,6.10,-2.99,-2.08,-65.00,38.00,-47.00
-0.00,-0.14,-1.00,5.55,-2.08,-0.24,-68.00,39.00,-47.00
-0.00,-0.13,-1.02,0.18,-3.17,-0.49,-69.00,37.00,-46.00
0.01,-0.12,-1.01,3.36,0.31,-1.16,-67.00,37.00,-52.00
0.01,-0.11,-1.01,10.80,-5.25,0.00,-69.00,38.00,-49.00
0.01,-0.11,-1.02,-2.87,0.06,-0.61,-68.00,38.00,-50.00
0.01,-0.12,-1.01,-8.79,-2.20,0.61,-69.00,35.00,-48.00
0.02,-0.14,-1.01,-31.68,1.89,2.32,-67.00,37.00,-50.00
0.02,-0.14,-1.01,-16.60,-0.73,3.48,-68.00,38.00,-50.00
0.00,-0.19,-0.99,-39.06,9.70,3.30,-70.00,37.00,-45.00
0.01,-0.23,-1.00,-38.02,-2.08,2.32,-71.00,35.00,-46.00
0.02,-0.28,-0.98,-27.77,3.48,-3.11,-72.00,40.00,-46.00
0.01,-0.35,-0.96,-40.04,2.20,-4.46,-75.00,40.00,-43.00
0.01,-0.44,-0.90,-43.58,5.19,-3.48,-76.00,39.00,-37.00
0.01,-0.49,-0.85,-62.62,-2.62,5.43,-80.00,40.00,-36.00
0.00,-0.57,-0.83,-30.46,-1.53,-1.77,-83.00,39.00,-34.00
0.01,-0.61,-0.77,-50.29,-6.10,-2.38,-83.00,37.00,-32.00
0.02,-0.71,-0.69,-83.50,-2.99,-1.53,-86.00,40.00,-27.00
0.02,-0.84,-0.59,-121.03,4.39,-0.79,-91.00,40.00,-21.00
0.02,-0.87,-0.46,-52.00,-1.65,-5.62,-92.00,40.00,-13.00
0.02,-0.93,-0.37,-49.87,0.98,5.49,-95.00,40.00,-8.00
0.03,-0.96,-0.22,-94.97,2.93,8.12,-96.00,37.00,-2.00
0.03,-1.03,-0.09,-77.09,-1.46,-10.68,-96.00,38.00,6.00
0.01,-0.96,0.02,-76.48,7.81,-16.97,-95.00,39.00,12.00
-0.03,-0.99,0.12,-66.83,-5.43,-8.24,-92.00,39.00,19.00
-0.04,-0.99,0.21,-54.75,2.01,-8.61,-90.00,43.00,26.00
-0.04,-0.98,0.24,-12.27,0.85,-4.76,-92.00,42.00,26.00
-0.05,-0.98,0.26,1.89,-1.59,-1.34,-90.00,41.00,25.00
-0.05,-0.99,0.26,13.24,-0.92,3.30,-90.00,41.00,25.00
-0.05,-0.98,0.25,4.52,-0.43,0.31,-88.00,39.00,19.00
-0.05,-0.97,0.24,1.22,-1.16,0.85,-90.00,43.00,23.00
-0.04,-0.97,0.23,-3.17,0.92,0.85,-91.00,42.00,26.00
-0.04,-0.98,0.24,1.10,2.32,3.36,-90.00,42.00,23.00
-0.03,-0.98,0.24,4.09,1.40,3.05,-90.00,39.00,27.00
-0.03,-0.97,0.23,-1.53,2.08,-0.31,-90.00,41.00,25.00
-0.01,-0.99,0.23,3.48,6.29,5.43,-90.00,40.00,23.00
-0.00,-0.98,0.23,-0.37,22.09,6.47,-89.00,38.00,25.00
0.01,-0.96,0.22,14.53,39.86,-5.07,-91.00,41.00,24.00
-0.00,-0.96,0.17,36.50,72.63,11.90,-91.00,33.00,24.00
0.06,-0.96,0.11,28.44,75.26,21.12,-89.00,27.00,24.00
0.06,-1.02,0.06,-10.56,81.30,7.93,-88.00,24.00,22.00
0.14,-0.98,0.05,-2.01,98.75,-2.93,-86.00,18.00,23.00
0.11,-0.98,0.08,-19.47,110.17,-11.05,-85.00,13.00,23.00
0.11,-0.97,0.11,-41.99,98.75,1.16,-82.00,7.00,23.00
0.16,-0.99,0.16,-34.61,91.61,9.03,-79.00,1.00,25.00
0.20,-0.95,0.08,3.48,69.15,4.94,-76.00,0.00,20.00
0.19,-0.93,0.02,5.07,24.60,-13.92,-78.00,-4.00,15.00
0.12,-1.01,-0.05,-2.38,20.63,-25.88,-79.00,-3.00,15.00
0.11,-1.01,-0.05,34.67,-6.16,-32.29,-77.00,-2.00,9.00
0.09,-1.02,-0.09,0.37,-12.51,-11.11,-82.00,-2.00,13.00
0.08,-1.01,-0.08,-6.53,-8.36,0.67,-81.00,0.00,14.00
0.06,-1.01,-0.13,27.95,2.69,-4.39,-84.00,0.00,8.00
0.11,-0.99,-0.13,23.32,-17.88,1.83,-85.00,1.00,9.00
0.08,-1.03,-0.21,18.74,-11.72,5.86,-84.00,-3.00,9.00
0.11,-0.95,-0.21,30.03,-10.62,5.13,-82.00,-3.00,8.00
0.09,-1.01,-0.37,172.00,-18.92,-17.46,-86.00,0.00,2.00
0.06,-0.86,-0.61,181.03,-21.91,-24.72,-84.00,0.00,-6.00
0.05,-0.67,-0.79,73.91,-9.09,-6.47,-80.00,1.00,-19.00
0.08,-0.42,-0.91,112.43,-7.87,-3.54,-76.00,1.00,-26.00
0.08,-0.24,-0.95,98.21,-6.23,-11.29,-72.00,3.00,-30.00
0.06,-0.10,-1.00,61.10,19.84,-6.35,-66.00,4.00,-33.00
0.03,-0.01,-0.99,21.24,18.49,0.85,-66.00,3.00,-38.00
