ax,ay,az,gx,gy,gz,mx,my,mz
-0.91,-0.06,-0.38,0.18,-3.30,0.49,-45.00,131.00,-30.00
-0.91,-0.06,-0.39,1.04,-6.04,0.43,-46.00,130.00,-37.00
-0.91,-0.06,-0.39,1.59,-0.37,-0.43,-46.00,130.00,-36.00
-0.91,-0.05,-0.39,1.59,6.47,-0.24,-46.00,133.00,-38.00
-1.06,-0.08,-0.41,-44.01,86.55,64.88,-55.00,132.00,-23.00
-0.94,-0.25,0.34,5.86,178.77,5.13,-68.00,120.00,3.00
-0.85,-0.11,0.40,27.53,45.78,-18.62,-63.00,104.00,27.00
-0.91,-0.01,0.52,29.05,126.10,-67.93,-47.00,93.00,49.00
-0.77,0.06,0.62,-25.39,2.69,-4.58,-41.00,86.00,58.00
-0.80,-0.01,0.57,-9.16,6.71,6.04,-38.00,73.00,58.00
-0.77,-0.00,0.60,-7.08,13.31,3.78,-35.00,77.00,64.00
-0.74,-0.01,0.65,0.06,-0.49,-1.28,-35.00,73.00,61.00
-0.84,-0.02,0.59,18.62,-105.90,28.56,-39.00,81.00,63.00
-0.96,-0.08,0.41,29.85,-336.85,67.38,-58.00,121.00,30.00
-1.03,-0.22,-0.06,1.16,-118.47,33.14,-71.00,133.00,5.00
-0.94,-0.09,-0.03,22.28,-111.63,20.32,-86.00,135.00,-22.00
-0.89,-0.13,-0.22,-3.54,-34.91,3.60,-83.00,132.00,-37.00
-1.08,-0.29,-0.40,15.87,-11.17,-35.64,-52.00,137.00,-47.00
-0.91,-0.07,-0.45,17.33,-59.02,-14.16,-43.00,138.00,-56.00
-0.85,-0.05,-0.53,-2.69,6.04,8.30,-43.00,135.00,-58.00
-0.98,0.05,-0.40,-21.48,78.61,-15.56,-51.00,133.00,-51.00
-1.24,-0.21,-0.07,-84.41,68.97,74.28,-73.00,131.00,-24.00
-0.68,-0.40,0.03,43.82,138.98,-37.17,-79.00,100.00,19.00
-0.65,-0.07,0.21,39.00,129.09,-16.91,-74.00,90.00,31.00
-0.87,-0.16,0.41,10.31,103.03,-51.70,-61.00,86.00,45.00
-0.82,-0.13,0.72,-8.67,-2.75,-33.08,-50.00,76.00,59.00
-0.79,-0.05,0.66,-13.06,-54.32,2.01,-46.00,79.00,61.00
-0.77,-0.03,0.58,-19.65,22.46,-3.72,-38.00,80.00,65.00
-0.77,-0.01,0.60,2.38,-4.52,-0.61,-36.00,78.00,66.00
-0.84,-0.01,0.66,11.72,-49.50,22.09,-39.00,85.00,59.00
